ORG,DISTRICT
OTHERS,ABIM
OTHERS,ADJUMANI
OTHERS,AGAGO
OTHERS,ALEBTONG
OTHERS,AMOLATAR
OTHERS,AMUDAT
OTHERS,AMURIA
OTHERS,AMURU
OTHERS,APAC
OTHERS,ARUA
OTHERS,BUDAKA
OTHERS,BUDUDA
OTHERS,BUGIRI
OTHERS,BUGWERI
OTHERS,BUHWEJU
OTHERS,BUIKWE
OTHERS,BUKEDEA
IDI,BUKOMANSIMBI
OTHERS,BUKWO
OTHERS,BULAMBULI
OTHERS,BULIISA
OTHERS,BUNDIBUGYO
OTHERS,BUNYANGABU
OTHERS,BUSHENYI
OTHERS,BUSIA
OTHERS,BUTALEJA
IDI,BUTAMBALA
OTHERS,BUTEBO
OTHERS,BUVUMA
OTHERS,BUYENDE
OTHERS,DOKOLO
IDI,GOMBA
OTHERS,GULU
OTHERS,HOIMA
OTHERS,IBANDA
OTHERS,IGANGA
OTHERS,ISINGIRO
OTHERS,JINJA
OTHERS,KAABONG
OTHERS,KABALE
OTHERS,KABAROLE
OTHERS,KABERAMAIDO
OTHERS,KAGADI
OTHERS,KAKUMIRO
OTHERS,KALAKI
IDI,KALANGALA
OTHERS,KALIRO
IDI,KALUNGU
OTHERS,KAMPALA
OTHERS,KAMULI
OTHERS,KAMWENGE
OTHERS,KANUNGU
OTHERS,KAPCHORWA
OTHERS,KAPELEBYONG
OTHERS,KARENGA
OTHERS,KASANDA
OTHERS,KASESE
OTHERS,KATAKWI
OTHERS,KAYUNGA
OTHERS,KAZO
OTHERS,KIBAALE
OTHERS,KIBOGA
OTHERS,KIBUKU
OTHERS,KIKUUBE
OTHERS,KIRUHURA
OTHERS,KIRYANDONGO
OTHERS,KISORO
OTHERS,KITAGWENDA
OTHERS,KITGUM
OTHERS,KOBOKO
OTHERS,KOLE
OTHERS,KOTIDO
OTHERS,KUMI
OTHERS,KWANIA
OTHERS,KWEEN
OTHERS,KYANKWANZI
OTHERS,KYEGEGWA
OTHERS,KYENJOJO
IDI,KYOTERA
OTHERS,LAMWO
OTHERS,LIRA
OTHERS,LUUKA
OTHERS,LUWEERO
IDI,LWENGO
IDI,LYANTONDE
OTHERS,MADI-OKOLLO
OTHERS,MANAFWA
OTHERS,MARACHA
IDI,MASAKA
OTHERS,MASINDI
OTHERS,MAYUGE
OTHERS,MBALE
OTHERS,MBARARA
OTHERS,MITOOMA
OTHERS,MITYANA
OTHERS,MOROTO
OTHERS,MOYO
IDI,MPIGI
OTHERS,MUBENDE
OTHERS,MUKONO
OTHERS,NABILATUK
OTHERS,NAKAPIRIPIRIT
OTHERS,NAKASEKE
OTHERS,NAKASONGOLA
OTHERS,NAMAYINGO
OTHERS,NAMISINDWA
OTHERS,NAMUTUMBA
OTHERS,NAPAK
OTHERS,NEBBI
OTHERS,NGORA
OTHERS,NTOROKO
OTHERS,NTUNGAMO
OTHERS,NWOYA
OTHERS,OBONGI
OTHERS,OMORO
OTHERS,OTUKE
OTHERS,OYAM
OTHERS,PADER
OTHERS,PAKWACH
OTHERS,PALLISA
IDI,RAKAI
OTHERS,RUBANDA
OTHERS,RUBIRIZI
OTHERS,RUKIGA
OTHERS,RUKUNGIRI
OTHERS,RWAMPARA
IDI,SEMBABULE
OTHERS,SERERE
OTHERS,SHEEMA
OTHERS,SIRONKO
OTHERS,SOROTI
OTHERS,TEREGO
OTHERS,TORORO
IDI,WAKISO
OTHERS,YUMBE
OTHERS,ZOMBO
